,nome_logradouro_residencia,quantidade
545,RUA CONEGO JOSE FERNANDES MACHADO,3
546,AVENIDA ANIBAL BENEVOLO,3
547,AV TAPAJOS,3
548,RUA DOUTOR MIGUEL VIEIRA FERREIRA,3
549,RUA GERVASIO PIRES,3
550,RUA BARAO DA SOLEDADE,3
551,RUA SAO BENEDITO,3
552,AV OPERARIA,3
553,RUA CRUCILANDIA,3
554,AV RIO VERDE,3
555,RUA QUINZE DE NOVEMBRO,3
556,RUA CORREGO DA AREIA,3
557,RUA BELO MONTE,3
558,RUA PORTO REAL,3
559,RUA LUIZ JANUARIO,3
560,RUA BRANCA,3
561,RUA FRANCO DA ROCHA,3
562,RUA JERONIMO VILELA,3
563,RUA PELOPIDAS ARROXELAS GALV?O,3
564,RUA ULISSES GUIMARAES,3
565,RUA EVARISTO FERREIRA DA SILVA,3
566,RUA CORREGO DO LEONCIO,3
567,RUA SANTA ISABEL,3
568,RUA VERTENTE DOS L?RIOS,3
569,RUA JOSE MOREIRA LEAL,3
570,RUA TUPIRAÃAVA,3
571,RUA 14,3
572,RUA MINISTRO MARCOS FREIRE,3
573,RUA LARGO DO FEITOSA,3
574,RUA SEBASTI?O DE ALENCASTRO SALAZAR,3
575,RUA HORIZONTINA,3
576,RUA ALTO JOSE DO PINHO,3
577,RUA APULCRO DE ASSUNCAO,3
578,RUA GOMES COUTINHO,3
579,RUA NOVA DO FUNDAO,3
580,RUA DAVID NASSER,3
581,RUA BARRA LONGA,3
582,RUA S?O SEBASTI?O,3
583,RUA CERRO NEGRO,3
584,1¬ TRAVESSA ENGENHO TITARA,3
585,RUA ABATI?,3
586,AV CANAL,3
587,RUA FRANKLIN TAVORA,3
588,AV RIO LARGO,3
589,RUA TENENTE ROLAND RITTMISTER,3
590,RUA CLAUDINO DOS SANTOS,3
591,RUA ANTONIO CURADO,3
592,RUA DEPUTADO ADALBERTO GUERRA,3
593,RUA JOAO AMARAL,3
594,RUA DRACENA,3
595,RUA EDUARDO GUIMARAES,3
596,RUA ITAPINA,3
597,JO?O SALES DE MENEZES,3
598,RUA PROFESSOR ANTONIO LUIZ LINS DE BARROS,3
599,RUA TREZE DE JUNHO,3
600,RUA JOAO BRAGA,3
601,RUA PAJE?,3
602,RUA CASA AMARELA,3
603,RUA LIMOEIRO,3
604,RUA DOZE,3
605,AV NOSSA SENHORA,3
606,RUA BLUMENAU,3
607,RUA COMENDADOR FRANCO FERREIRA,3
608,RUA DOUTOR ANTONIO CORREIA DE OLIVEIRA,3
609,RUA SANTA EDWIRGES,3
610,RUA ORIENTE,3
611,RUA FELICIO DOS SANTOS,3
612,RUA APULEU VIEIRA,3
613,RUA LAPELA,3
614,RUA BASTOS RIBEIRO,3
615,AV. CENTRAL,3
616,RUA NORMANDIA,3
617,RUA CATUME,3
618,RUA BARROS SOBRINHO,3
619,RUA VICENTINA,3
